Country,Year,GDP,FC,Population,Area,PopDen
Burundi,2013,241.5476708,3914,10149577,26857,377.9117921
Burundi,2014,257.8185519,2573,10494913,26857,390.7701158
Burundi,2015,289.3596333,5240,10727148,26857,399.4172097
Burundi,2016,242.0656705,4562,10903327,26857,405.9771009
Burundi,2017,243.1358094,2286,11155593,26857,415.3700339
Burundi,2018,231.4464765,1789,11493472,26857,427.9507019
Burundi,2019,216.9729681,2296,11874838,26857,442.1505753
Burundi,2020,216.8267413,2863,12220227,26857,455.0108724
Burundi,2021,221.4776762,1829,12551213,26857,467.3348848
Burundi,2022,,2344,12889576,26857,479.9335741
Djibouti,2013,2102.197948,9,971753,21670,44.8432395
Djibouti,2014,2239.114538,8,989087,21670,45.64314721
Djibouti,2015,2409.311902,8,1006259,21670,46.43557914
Djibouti,2016,2545.738799,18,1023261,21670,47.22016613
Djibouti,2017,2655.73322,12,1040233,21670,48.00336871
Djibouti,2018,2755.838293,16,1057198,21670,48.78624827
Djibouti,2019,2876.043664,23,1073994,21670,49.56132903
Djibouti,2020,2917.996281,61,1090156,21670,50.30715275
Djibouti,2021,3150.436729,28,1105557,21670,51.01785879
Djibouti,2022,,64,1120849,21670,51.72353484
Eritrea,2013,,448,3296367,120763,27.29616687
Eritrea,2014,,504,3323425,120763,27.52022557
Eritrea,2015,,621,3340006,120763,27.65752755
Eritrea,2016,,281,3365287,120763,27.86687148
Eritrea,2017,,338,3396933,120763,28.12892194
Eritrea,2018,,491,3445374,120763,28.53004645
Eritrea,2019,,1040,3498818,120763,28.97259922
Eritrea,2020,,2092,3555868,120763,29.44501213
Eritrea,2021,,1032,3620312,120763,29.9786524
Eritrea,2022,,1632,3684032,120763,30.50629746
Ethiopia,2013,490.791804,217877,97084366,1129312,85.96770954
Ethiopia,2014,557.5341484,194061,99746766,1129312,88.32525113
Ethiopia,2015,630.3126821,232851,102471895,1129312,90.73833892
Ethiopia,2016,705.616305,221196,105293228,1129312,93.23661486
Ethiopia,2017,755.7517677,201173,108197950,1129312,95.80873133
Ethiopia,2018,758.2990596,207708,111129438,1129312,98.40454896
Ethiopia,2019,840.4494515,173906,114120594,1129312,101.0532023
Ethiopia,2020,918.6525941,186874,117190911,1129312,103.7719523
